experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P13_Seq2Trend_trial_112,P13,118b3d6dd60d46fd7dadfbf3e101c9a5,112,5.331398681566879,0.6543716805473937,Seq2Trend,Normal,False,0.25,300,300,100,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,8,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.4475,0.2608333333333333,1.4166666666666665
UNISIM_IV_P13_Seq2Trend_trial_108,P13,d1ebf1444a0caff4d21a94e91d414eef,108,8.60127735002058,1.6737757182033484,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7677777777777778,0.7772222222222223,3.09
UNISIM_IV_P13_Seq2Trend_trial_46,P13,5dea3a802f8c1eb302d5e4a995250cdf,46,5.309601092964413,0.842782109646272,Seq2Trend,Normal,False,0.01,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,8,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5938888888888889,0.2561111111111111,1.7000000000000002
UNISIM_IV_P13_Seq2Trend_trial_3,P13,6226bc88b4a22503112c01e48b876b20,3,5.8539795160920685,1.022853845717884,Seq2Trend,Normal,False,0.5,300,300,200,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7116666666666667,0.31333333333333335,2.05
UNISIM_IV_P13_Seq2Trend_trial_0,P13,69c4ac79dc6ff15bd9ff2185019219cf,0,5.627418563647705,0.7483042425610297,Seq2Trend,Normal,False,0.99,300,300,200,20,8,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5625,0.29194444444444445,1.708888888888889
UNISIM_IV_P13_Seq2Trend_trial_1,P13,80eea789cda5af9607f5255af788738c,1,5.967227154542845,0.4724271186515907,Seq2Trend,Normal,False,0.99,300,300,100,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,5,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.3761111111111111,0.41055555555555556,1.5733333333333333
UNISIM_IV_P13_Seq2Trend_trial_27,P13,03f57f7934426859f1d3356f13da4d0b,27,5.4630056357994325,0.8346311817900111,Seq2Trend,Normal,False,0.25,300,300,200,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.5897222222222223,0.2802777777777778,1.7400000000000002
UNISIM_IV_P13_Seq2Trend_trial_123,P13,b31787c9ad4b7461de7f3184f5bfccb7,123,5.492140367378848,0.1321239539356425,Seq2Trend,Normal,False,0.01,300,300,20,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,8,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.07083333333333333,0.2852777777777778,0.7122222222222223
UNISIM_IV_P13_Seq2Trend_trial_76,P13,ab95336291be4cdc5eb96271abb1dc03,76,5.864488101549608,1.1063950054550291,Seq2Trend,Normal,False,0.99,300,300,20,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,3,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.7216666666666667,0.37,2.1833333333333336
UNISIM_IV_P13_Seq2Trend_trial_23,P13,29670380e9edc53ba39c3d9741014d0b,23,5.191115938409453,0.541420786401845,Seq2Trend,Normal,False,0.01,300,300,20,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,2,,default_group,UNISIM_IV_P13_Seq2Trend,UNISIM_IV,Seq2Trend,0.41833333333333333,0.21222222222222223,1.261111111111111
