experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group
UNISIM_IV_P12_Seq2Trend_trial_171,P12,268eceb803d28f284d9dea3fcc80ca0e,171,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_162,P12,351b9c89c7a404f62f3fddfc95aee286,162,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_176,P12,1d9796244878ddd21546364ab3d12ba8,176,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_173,P12,91fc46cea4739b7ee8aceed5e15bf120,173,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_192,P12,c7f78c28cb34fe8b27811fcda879862d,192,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_166,P12,488efdd0cc727d82e4ae6fc75710219e,166,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_157,P12,d85a027636de2ab55e40145c52712b46,157,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_184,P12,fa68d1c451d4f9fd1a44038f0e3a6cb3,184,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_168,P12,d213a696f288876fd6e7139916a6d4ea,168,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_196,P12,4ec7aebe2858633de2ca63e7458ea2b4,196,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_194,P12,f8d61fdd6ccf8c1a3b50f26e090f68da,194,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_175,P12,754e923f6c08745cf231d15e9639c182,175,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_191,P12,128a321ff4b59bca72e3045f39715c98,191,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_189,P12,2fbbd79406f71a6cf0b5dcae2b9ad071,189,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_197,P12,a3d944aaf9e71bcc80723a1a739bf057,197,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_188,P12,30ca16e66238b157e967587935ab1ba3,188,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_195,P12,176c4896e9e220951efb2861de639e34,195,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_193,P12,330bb4efe58716106061eecad2e7a29f,193,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_155,P12,4661fc7141cdbe895d6977cf78579f79,155,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_179,P12,cf6a5cad02981b6dfd3fa58d308779cc,179,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
UNISIM_IV_P12_Seq2Trend_trial_181,P12,b2752d04283d36568eeefa10b7b09820,181,12.60713190248493,3.1035714271700976,Seq2Trend,Normal,False,0.99,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,8,,default_group
