TIME	WOPR
3922	-99999
3923	-99999
3924	-99999
3925	-99999
3926	-99999
3927	-99999
3928	-99999
3929	-99999
3930	-99999
3931	-99999
3932	-99999
3933	-99999
3934	-99999
3935	-99999
3936	-99999
3937	-99999
3938	-99999
3939	-99999
3940	-99999
3941	-99999
3942	-99999
3943	-99999
3944	-99999
3945	-99999
3946	-99999
3947	-99999
3948	-99999
3949	-99999
3950	-99999
3951	-99999
3952	-99999
3953	-99999
3954	-99999
3955	-99999
3956	-99999
3957	-99999
3958	-99999
3959	-99999
3960	-99999
3961	-99999
3962	-99999
3963	-99999
3964	-99999
3965	-99999
3966	-99999
3967	-99999
3968	-99999
3969	-99999
3970	-99999
3971	-99999
3972	-99999
3973	-99999
3974	-99999
3975	-99999
3976	-99999
3977	-99999
3978	-99999
3979	-99999
3980	-99999
3981	-99999
3982	-99999
3983	-99999
3984	-99999
3985	-99999
3986	-99999
3987	-99999
3988	-99999
3989	-99999
3990	-99999
3991	-99999
3992	-99999
3993	-99999
3994	-99999
3995	-99999
3996	-99999
3997	-99999
3998	-99999
3999	-99999
4000	-99999
4001	-99999
4002	-99999
4003	-99999
4004	-99999
4005	-99999
4006	-99999
4007	-99999
4008	-99999
4009	-99999
4010	-99999
4011	-99999
4012	-99999
4013	-99999
4014	-99999
4015	-99999
4016	-99999
4017	-99999
4018	-99999
4019	-99999
4020	-99999
4021	-99999
4022	-99999
4023	-99999
4024	-99999
4025	-99999
4026	-99999
4027	-99999
4028	-99999
4029	-99999
4030	-99999
4031	-99999
4032	-99999
4033	-99999
4034	-99999
4035	-99999
4036	-99999
4037	-99999
4038	-99999
4039	-99999
4040	-99999
4041	-99999
4042	-99999
4043	-99999
4044	-99999
4045	-99999
4046	-99999
4047	-99999
4048	-99999
4049	-99999
4050	-99999
4051	-99999
4052	-99999
4053	-99999
4054	-99999
4055	-99999
4056	-99999
4057	-99999
4058	-99999
4059	-99999
4060	-99999
4061	-99999
4062	-99999
4063	-99999
4064	-99999
4065	-99999
4066	-99999
4067	-99999
4068	-99999
4069	-99999
4070	-99999
4071	-99999
4072	-99999
4073	-99999
4074	-99999
4075	-99999
4076	-99999
4077	-99999
4078	-99999
4079	-99999
4080	-99999
4081	-99999
4082	-99999
4083	-99999
4084	-99999
4085	-99999
4086	-99999
4087	-99999
4088	-99999
4089	-99999
4090	-99999
4091	-99999
4092	-99999
4093	-99999
4094	-99999
4095	-99999
4096	-99999
4097	-99999
4098	-99999
4099	-99999
4100	-99999
4101	-99999
4102	-99999
4103	-99999
4104	-99999
4105	-99999
4106	-99999
4107	-99999
4108	-99999
4109	-99999
4110	-99999
4111	-99999
4112	-99999
4113	-99999
4114	-99999
4115	-99999
4116	-99999
4117	-99999
4118	-99999
4119	-99999
4120	-99999
4121	-99999
4122	-99999
4123	-99999
4124	-99999
4125	-99999
4126	-99999
4127	-99999
4128	-99999
4129	0
4130	3318
4131	2611
4132	3862
4133	3857
4134	3951
4135	3914
4136	3894
4137	3885
4138	3889
4139	3883
4140	3874
4141	3829
4142	3860
4143	3829
4144	3832
4145	3825
4146	3814
4147	3708
4148	3711
4149	3700
4150	3688
4151	3680
4152	3674
4153	3671
4154	3512
4155	3482
4156	2610
4157	2858
4158	3545
4159	3497
4160	3480
4161	3463
4162	3470
4163	2225
4164	3432
4165	1675
4166	3187
4167	3431
4168	3419
4169	3367
4170	2253
4171	2991
4172	3336
4173	3456
4174	3424
4175	3516
4176	3501
4177	3484
4178	3331
4179	3314
4180	3294
4181	3305
4182	3185
4183	2449
4184	3150
4185	3160
4186	3127
4187	3133
4188	3120
4189	3116
4190	3102
4191	3092
