experiment_id,well,job_hash,optuna_trial_number,val_smape_agg,val_smape_cum,architecture_name,feature_kind,use_known_good,data_sample,lag_window,horizon,epochs,patience,batch_size,learning_rate,test_size,val_size,aggregation_method,evaluate_by_slice,aggregation_quantiles,plot,scenario,band,show_components,seed,ensemble_models,physics_strategy,trend_degree,architecture_profile,profile_group,campaign,dataset,architecture,val_smape_cum_norm,val_smape_agg_norm,weighted_score
UNISIM_IV_P11_Seq2Trend_trial_51,P11,38771dbde13a6f3d577fc166d41c1c0a,51,5.277380246090633,0.7948905216784186,Seq2Trend,Normal,False,0.25,300,300,100,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,2,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5582644628099174,0.2409090909090909,1.5983471074380167
UNISIM_IV_P11_Seq2Trend_trial_92,P11,fad14892d69c26a1229bf8307911ca43,92,12.409627806722993,3.0312851017183107,Seq2Trend,Normal,False,0.5,300,300,200,20,16,0.01,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.8347107438016529,0.8181818181818182,3.3057851239669422
UNISIM_IV_P11_Seq2Trend_trial_37,P11,d6293260ec6567a43f1d2bece8782936,37,4.9904573296865,0.0682276650173791,Seq2Trend,Normal,False,0.01,300,300,50,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,pressure_ensemble,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.02727272727272727,0.08264462809917356,0.21983471074380165
UNISIM_IV_P11_Seq2Trend_trial_11,P11,b004e63ff65558327b200b7bff1bc263,11,5.025231073130641,0.087819797619744,Seq2Trend,Normal,False,0.01,300,300,100,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,combined_exp_arps,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05289256198347107,0.11570247933884298,0.33719008264462813
UNISIM_IV_P11_Seq2Trend_trial_0,P11,e779aba50a0ed0b109c82d1d72f9442b,0,5.277380246090633,0.7948905216784186,Seq2Trend,Normal,False,0.25,300,300,100,20,16,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5582644628099174,0.2409090909090909,1.5983471074380167
UNISIM_IV_P11_Seq2Trend_trial_64,P11,a17fda4f908176a323511847973b1020,64,5.171649080068834,0.6725555656323722,Seq2Trend,Normal,False,0.5,300,300,20,20,8,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,8,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.5037190082644628,0.16074380165289257,1.3289256198347108
UNISIM_IV_P11_Seq2Trend_trial_45,P11,da5e36c20d445d6c261464ffa86d786e,45,4.981754976604735,0.4476913760369048,Seq2Trend,Normal,False,0.25,300,300,100,20,8,0.001,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,6,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.30330578512396694,0.0603305785123967,0.7272727272727273
UNISIM_IV_P11_Seq2Trend_trial_80,P11,b5a0b4d46e65af9f1e6f70c290bf090c,80,7.470302372222043,1.1955410474891075,Seq2Trend,Normal,False,0.25,300,300,50,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,exponential,4,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7239669421487603,0.6966942148760331,2.841322314049587
UNISIM_IV_P11_Seq2Trend_trial_5,P11,5fcd0648c0202e60d5dfcc7e782f8dc1,5,5.043417300760531,0.1068324242014279,Seq2Trend,Normal,False,0.01,300,300,20,20,16,0.05,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,5,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.05619834710743802,0.11818181818181818,0.3487603305785124
UNISIM_IV_P11_Seq2Trend_trial_6,P11,f90710f0236c0e10d199e0a3a5c122c5,6,7.169648214474153,1.142592972423233,Seq2Trend,Normal,False,0.99,300,300,100,20,16,0.005,0.6,0.1,median,True,"[0.25, 0.5, 0.75]",False,P50,,False,42,1,static,3,,default_group,UNISIM_IV_P11_Seq2Trend,UNISIM_IV,Seq2Trend,0.7223140495867768,0.6859504132231405,2.816528925619835
